iter	Passed	Remaining
0	2	2459
1	4	2375
2	6	2319
3	9	2311
4	11	2294
5	13	2282
6	16	2277
7	18	2274
8	20	2267
9	23	2279
10	25	2272
11	27	2272
12	29	2267
13	32	2262
14	34	2259
15	36	2253
16	38	2248
17	41	2240
18	43	2238
19	45	2231
20	47	2227
21	50	2229
22	52	2228
23	53	2186
24	56	2184
25	58	2182
26	60	2180
27	62	2179
28	65	2178
29	67	2177
30	69	2174
31	71	2172
32	74	2170
33	76	2167
34	78	2165
35	80	2165
36	82	2147
37	84	2148
38	87	2146
39	89	2145
40	92	2152
41	94	2151
42	96	2149
43	98	2148
44	101	2147
45	103	2144
46	105	2142
47	107	2140
48	109	2129
49	111	2114
50	112	2100
51	114	2086
52	116	2073
53	117	2059
54	118	2040
55	119	2022
56	121	2005
57	122	1987
58	123	1971
59	124	1956
60	126	1940
61	126	1913
62	127	1897
63	128	1880
64	129	1864
65	130	1844
66	131	1829
67	132	1811
68	133	1796
69	134	1782
70	135	1768
71	136	1755
72	137	1742
73	138	1730
74	139	1718
75	140	1706
76	141	1694
77	142	1684
78	143	1673
79	144	1663
80	145	1652
81	146	1642
82	147	1632
83	148	1621
84	149	1612
85	150	1602
86	151	1593
87	152	1584
88	153	1575
89	154	1566
90	155	1557
91	157	1549
92	158	1541
93	159	1532
94	160	1524
95	161	1517
96	162	1509
97	163	1501
98	164	1494
99	165	1486
100	166	1479
101	167	1472
102	168	1465
103	169	1458
104	170	1451
105	171	1444
106	172	1437
107	173	1431
108	174	1425
109	175	1418
110	176	1412
111	177	1406
112	178	1400
113	179	1394
114	180	1388
115	181	1383
116	182	1377
117	183	1371
118	184	1366
119	185	1360
120	186	1355
121	187	1350
122	188	1345
123	189	1339
124	190	1334
125	191	1330
126	192	1325
127	193	1320
128	194	1315
129	195	1310
130	196	1306
131	197	1301
132	198	1296
133	199	1292
134	201	1289
135	202	1284
136	203	1280
137	204	1276
138	205	1272
139	206	1267
140	207	1263
141	208	1259
142	209	1255
143	210	1251
144	211	1247
145	212	1243
146	213	1239
147	214	1235
148	215	1231
149	216	1227
150	217	1224
151	218	1220
152	219	1216
153	220	1212
154	221	1209
155	222	1205
156	223	1202
157	224	1198
158	225	1194
159	226	1191
160	227	1188
161	229	1184
162	230	1181
163	231	1177
164	232	1174
165	233	1170
166	234	1167
167	235	1164
168	236	1160
169	237	1157
170	238	1154
171	239	1151
172	240	1148
173	241	1145
174	242	1142
175	243	1139
176	244	1136
177	245	1133
178	246	1130
179	247	1127
180	248	1124
181	249	1122
182	250	1119
183	251	1116
184	252	1113
185	253	1110
186	254	1107
187	255	1104
188	256	1102
189	257	1099
190	258	1096
191	259	1093
192	260	1091
193	261	1088
194	263	1085
195	264	1083
196	265	1080
197	266	1077
198	267	1075
199	268	1072
200	269	1070
201	270	1067
202	271	1065
203	272	1062
204	273	1060
205	274	1057
206	275	1055
207	276	1052
208	277	1050
209	278	1048
210	279	1045
211	280	1043
212	281	1040
213	282	1038
214	283	1035
215	284	1033
216	285	1031
217	286	1028
218	287	1026
219	288	1023
220	289	1021
221	290	1019
222	291	1016
223	292	1014
224	293	1012
225	294	1009
226	295	1007
227	296	1005
228	297	1003
229	298	999
230	299	995
231	300	993
232	301	991
233	302	989
234	303	986
235	304	984
236	305	982
237	306	980
238	307	978
239	308	976
